FID	IID	Fhom
0	HG00653	0.1098
0	HG00654	0.109
0	HG00656	0.08587
0	HG00657	0.09365
0	HG00662	0.1226
0	HG00663	0.1194
0	HG00671	0.1038
0	HG00672	0.1163
0	HG00683	0.1149
0	HG00684	0.1176
0	HG00689	0.1145
0	HG00690	0.119
0	HG00692	0.1136
0	HG00693	0.1145
0	HG00698	0.1106
0	HG00699	0.1188
0	HG00701	0.1156
0	HG00702	0.07502
0	HG00704	0.1181
0	HG00705	0.1185
0	HG00707	0.1191
0	HG00708	0.1052
0	HG00731	0.02691
0	HG00732	0.01074
0	HG00734	0.002961
0	HG00736	0.02983
0	HG00737	0.007784
0	HG00740	0.009065
0	HG01047	0.0147
0	HG01048	-0.007136
0	HG01051	0.007453
0	HG01052	0.006548
0	HG01055	0.01259
0	HG01060	0.02949
0	HG01061	0.03636
0	HG01066	0.02497
0	HG01067	0.02459
0	HG01069	0.01704
0	HG01070	0.02286
0	HG01072	0.03026
0	HG01073	0.02769
0	HG01075	0.03184
0	HG01079	0.008432
0	HG01080	0.01583
0	HG01082	0.01847
0	HG01083	0.02424
0	HG01085	0.01175
0	HG01095	0.01024
0	HG01097	0.02481
0	HG01098	0.01832
0	HG01101	0.001485
0	HG01102	0.01439
0	HG01104	0.01255
0	HG01105	0.03618
0	HG01107	0.005931
0	HG01108	-0.001907
0	HG01112	0.04605
0	HG01113	0.03366
0	HG01124	-0.0287
0	HG01125	-0.03101
0	HG01133	-0.0136
0	HG01134	-0.002977
0	HG01136	-0.02356
0	HG01137	0.01645
0	HG01140	-0.006518
0	HG01148	0.07514
0	HG01149	0.03915
0	HG01167	0.03523
0	HG01168	0.05428
0	HG01170	0.0237
0	HG01171	0.01083
0	HG01173	0.03931
0	HG01174	0.05129
0	HG01176	0.03653
0	HG01183	0.03324
0	HG01187	0.008658
0	HG01188	-0.008236
0	HG01190	-0.004981
0	HG01191	0.01452
0	HG01197	0.01705
0	HG01198	0.05633
0	HG01204	0.01778
0	HG01250	0.02812
0	HG01251	0.02938
0	HG01257	0.02118
0	HG01259	0.009442
0	HG01271	-0.02692
0	HG01272	-0.03288
0	HG01274	-0.009924
0	HG01275	0.03897
0	HG01277	0.0004145
0	HG01278	-0.01006
0	HG01334	0.04937
0	HG01342	-0.01451
0	HG01344	0.01907
0	HG01345	-0.02488
0	HG01350	0.0586
0	HG01351	0.05555
0	HG01353	0.03481
0	HG01354	0.04919
0	HG01356	0.02385
0	HG01357	0.03155
0	HG01359	0.02243
0	HG01360	0.03277
0	HG01365	0.02745
0	HG01366	0.0393
0	HG01374	0.05173
0	HG01375	0.0377
0	HG01377	0.03643
0	HG01378	0.07007
0	HG01383	0.0654
0	HG01384	0.04872
0	HG01389	0.09767
0	HG01390	0.02712
0	HG01437	0.0479
0	HG01440	0.01763
0	HG01441	0.0478
0	HG01455	0.04439
0	HG01456	0.03576
0	HG01461	0.01855
0	HG01462	0.001907
0	HG01465	0.0391
0	HG01488	0.01164
0	HG01489	0.02168
0	HG01491	0.08154
0	HG01492	0.02374
0	HG01494	0.04566
0	HG01495	0.006262
0	HG01497	0.0533
0	HG01498	0.04828
0	HG01515	0.06644
0	HG01516	0.07146
0	HG01518	0.06822
0	HG01519	0.06927
0	HG01521	0.07176
0	HG01522	0.06335
0	HG01550	0.02379
0	HG01551	-0.0002035
0	HG01617	0.03514
0	HG01618	0.01811
0	HG01619	0.0311
0	HG01620	0.0253
0	HG01623	0.01726
0	HG01624	0.02602
0	HG01625	0.0128
0	HG01626	0.009744
0	NA06984	0.03182
0	NA06986	0.0347
0	NA06989	0.03977
0	NA06994	0.07084
0	NA07000	0.04065
0	NA07037	0.03529
0	NA07048	0.04497
0	NA07051	0.02393
0	NA07056	0.04308
0	NA07347	0.05131
0	NA07357	0.04997
0	NA10847	0.05469
0	NA10851	0.0317
0	NA11829	0.0131
0	NA11830	0.01657
0	NA11831	0.02448
0	NA11843	0.03613
0	NA11892	0.04573
0	NA11893	0.05306
0	NA11894	0.07339
0	NA11919	0.02658
0	NA11920	0.03954
0	NA11930	0.02258
0	NA11931	0.07425
0	NA11932	0.04888
0	NA11933	0.02854
0	NA11992	0.02186
0	NA11993	0.04807
0	NA11994	-0.003745
0	NA11995	0.04843
0	NA12003	0.02264
0	NA12004	0.04638
0	NA12006	0.03955
0	NA12043	0.06704
0	NA12044	0.04403
0	NA12045	0.05416
0	NA12046	0.04255
0	NA12058	0.03512
0	NA12144	0.04643
0	NA12154	0.01651
0	NA12155	-0.003459
0	NA12249	0.08108
0	NA12272	0.049
0	NA12273	0.04967
0	NA12275	0.03102
0	NA12282	0.03377
0	NA12283	0.0375
0	NA12286	0.01815
0	NA12287	0.07655
0	NA12340	0.07353
0	NA12341	0.03128
0	NA12342	0.04757
0	NA12347	0.04881
0	NA12348	0.0449
0	NA12383	0.05383
0	NA12399	0.04711
0	NA12400	0.04267
0	NA12413	0.06789
0	NA12489	0.05949
0	NA12546	0.05746
0	NA12716	0.05532
0	NA12717	0.0509
0	NA12718	0.02328
0	NA12748	0.002494
0	NA12749	0.07077
0	NA12750	0.05429
0	NA12751	0.05036
0	NA12761	0.04937
0	NA12763	0.04941
0	NA12775	0.05437
0	NA12777	0.06071
0	NA12778	0.06802
0	NA12812	0.03461
0	NA12814	0.03645
0	NA12815	0.02772
0	NA12827	0.02484
0	NA12829	0.03184
0	NA12830	0.02299
0	NA12842	0.02809
0	NA12843	0.04418
0	NA12872	0.03426
0	NA12873	0.03202
0	NA12874	0.06453
0	NA12889	0.04126
0	NA12890	0.04953
0	NA18486	0.008071
0	NA18487	0.01116
0	NA18489	0.01107
0	NA18498	0.007001
0	NA18499	0.01918
0	NA18501	0.01491
0	NA18502	-0.005509
0	NA18504	0.02494
0	NA18505	-0.0006104
0	NA18507	0.005704
0	NA18508	-0.003595
0	NA18510	0.009744
0	NA18511	0.009593
0	NA18516	0.02664
0	NA18517	0.02992
0	NA18519	0.008236
0	NA18520	0.0216
0	NA18522	0.01375
0	NA18523	0.008719
0	NA18525	0.0738
0	NA18526	0.105
0	NA18527	0.06504
0	NA18528	0.05032
0	NA18530	0.09854
0	NA18532	0.1003
0	NA18534	0.1053
0	NA18535	0.1024
0	NA18536	0.1129
0	NA18537	0.1081
0	NA18538	0.0865
0	NA18539	0.09722
0	NA18541	0.1053
0	NA18542	0.1036
0	NA18543	0.1045
0	NA18544	0.1073
0	NA18545	0.1216
0	NA18546	0.1069
0	NA18547	0.1128
0	NA18548	0.1041
0	NA18549	0.1007
0	NA18550	0.08899
0	NA18552	0.1068
0	NA18553	0.05734
0	NA18555	0.1084
0	NA18557	0.113
0	NA18558	0.1152
0	NA18559	0.1042
0	NA18560	0.08968
0	NA18561	0.1021
0	NA18562	0.104
0	NA18563	0.1042
0	NA18564	0.08632
0	NA18565	0.1009
0	NA18566	0.09482
0	NA18567	0.09705
0	NA18570	0.1119
0	NA18571	0.1036
0	NA18572	0.1158
0	NA18573	0.09797
0	NA18574	0.09961
0	NA18576	0.1082
0	NA18577	0.09791
0	NA18579	0.1096
0	NA18582	0.1005
0	NA18592	0.1085
0	NA18593	0.1165
0	NA18595	0.1202
0	NA18596	0.1175
0	NA18597	0.1019
0	NA18599	0.112
0	NA18602	0.1082
0	NA18603	0.1105
0	NA18605	0.1033
0	NA18606	0.1469
0	NA18608	0.1085
0	NA18609	0.1201
0	NA18610	0.1136
0	NA18611	0.11
0	NA18612	0.1121
0	NA18613	0.1174
0	NA18614	0.1343
0	NA18615	0.06267
0	NA18616	0.07692
0	NA18617	0.06077
0	NA18618	0.08493
0	NA18619	0.08255
