Population,Number,mean_length,sd_length,median_Length,iqr_Length,max_Length,mean_N_Individuals,sd_N_Individuals,median_N_Individuals,iqr_N_Individuals,max_N_Individuals,mean_P_Individuals,sd_P_Individuals,median_P_Individuals,iqr_P_Individuals,max_P_Individuals
ADP,16,7.38625,16.8397735040192,1.22,0.3975,51.99,4,1.75119007154183,5,1.25,6,19.047619047619,8.33900034067536,23.8095238095238,5.95238095238097,28.5714285714286
AFS,5,1.43,0.152807067899361,1.47,0.17,1.63,5,1.87082869338697,4,3,7,20.8333333333334,7.79511955577905,16.6666666666667,12.5,29.1666666666667
